filename,subject,gender,split,label
Getup_p04_r03_v04_c05.mp4,p04,f,train,14
Sitdown_p17_r02_v02_c04.mp4,p17,m,train,25
Walk_p09_r00_v13_c07.mp4,p09,m,train,30
Drink.Fromcup_p14_r06_v05_c05.mp4,p14,m,test,9
Walk_p25_r23_v05_c05.mp4,p25,f,train,30
Drink.Fromcan_p12_r00_v05_c04.mp4,p12,f,train,8
Walk_p03_r23_v04_c05.mp4,p03,m,train,30
Drink.Frombottle_p18_r04_v05_c04.mp4,p18,m,test,7
Drink.Fromcup_p13_r01_v13_c01.mp4,p13,f,train,9
Usetelephone_p17_r06_v02_c05.mp4,p17,m,train,29
Takepills_p19_r00_v05_c05.mp4,p19,f,train,26
Usetelephone_p15_r00_v06_c05.mp4,p15,m,train,29
Sitdown_p12_r04_v05_c04.mp4,p12,f,train,25
Getup_p06_r00_v09_c02.mp4,p06,f,train,14
Cook.Stir_p07_r14_v21_c06.mp4,p07,f,train,4
Drink.Fromcup_p14_r18_v03_c05.mp4,p14,m,test,9
Drink.Fromcup_p04_r09_v09_c01.mp4,p04,f,train,9
Drink.Fromcup_p11_r03_v08_c01.mp4,p11,f,test,9
WatchTV_p25_r05_v06_c05.mp4,p25,f,train,31
Drink.Fromcup_p04_r00_v16_c06.mp4,p04,f,train,9
Sitdown_p14_r09_v10_c01.mp4,p14,m,test,25
Eat.Snack_p09_r07_v13_c06.mp4,p09,m,train,12
Readbook_p25_r08_v10_c01.mp4,p25,f,train,24
Drink.Fromcup_p07_r09_v20_c06.mp4,p07,f,train,9
Cook.Cleanup_p10_r06_v11_c03.mp4,p10,f,test,2
Walk_p15_r13_v15_c06.mp4,p15,m,train,30
Drink.Fromcup_p07_r09_v21_c06.mp4,p07,f,train,9
Laydown_p12_r01_v03_c04.mp4,p12,f,train,15
Takepills_p03_r06_v04_c05.mp4,p03,m,train,26
Walk_p06_r13_v13_c06.mp4,p06,f,train,30
Drink.Fromcup_p12_r08_v01_c04.mp4,p12,f,train,9
Readbook_p14_r02_v07_c05.mp4,p14,m,test,24
Cook.Stir_p25_r02_v15_c07.mp4,p25,f,train,4
Takepills_p14_r00_v06_c04.mp4,p14,m,test,26
Cook.Cleanup_p15_r00_v15_c03.mp4,p15,m,train,2
Drink.Fromcup_p13_r04_v12_c02.mp4,p13,f,train,9
Drink.Fromcup_p17_r04_v02_c05.mp4,p17,m,train,9
Enter_p03_r00_v06_c04.mp4,p03,m,train,13
Cook.Stir_p13_r05_v23_c06.mp4,p13,f,train,4
Drink.Fromcup_p16_r14_v12_c06.mp4,p16,f,test,9
Enter_p04_r00_v03_c05.mp4,p04,f,train,13
Leave_p09_r00_v06_c05.mp4,p09,m,train,16
Walk_p04_r03_v17_c06.mp4,p04,f,train,30
Drink.Fromcup_p20_r11_v02_c05.mp4,p20,f,test,9
Laydown_p15_r00_v05_c05.mp4,p15,m,train,15
Drink.Fromcup_p14_r00_v03_c04.mp4,p14,m,test,9
Drink.Fromcup_p13_r09_v21_c06.mp4,p13,f,train,9
Drink.Fromcup_p25_r00_v01_c05.mp4,p25,f,train,9
Eat.Attable_p07_r30_v08_c01.mp4,p07,f,train,11
Drink.Fromcan_p16_r00_v14_c03.mp4,p16,f,test,8
Getup_p14_r03_v02_c05.mp4,p14,m,test,14
Walk_p15_r01_v07_c04.mp4,p15,m,train,30
Getup_p14_r12_v06_c05.mp4,p14,m,test,14
Walk_p07_r04_v06_c03.mp4,p07,f,train,30
Uselaptop_p10_r01_v02_c05.mp4,p10,f,test,27
Usetelephone_p02_r01_v01_c07.mp4,p02,f,test,29
Cook.Cleanup_p07_r04_v20_c03.mp4,p07,f,train,2
Drink.Fromcup_p14_r04_v03_c05.mp4,p14,m,test,9
Cook.Cleanup_p07_r03_v21_c06.mp4,p07,f,train,2
Walk_p07_r04_v04_c05.mp4,p07,f,train,30
Sitdown_p10_r10_v02_c04.mp4,p10,f,test,25
Readbook_p06_r05_v06_c05.mp4,p06,f,train,24
Sitdown_p12_r08_v03_c05.mp4,p12,f,train,25
Cook.Cleanup_p07_r02_v06_c03.mp4,p07,f,train,2
Walk_p18_r01_v15_c03.mp4,p18,m,test,30
Drink.Fromcan_p03_r05_v02_c04.mp4,p03,m,train,8
WatchTV_p10_r03_v02_c05.mp4,p10,f,test,31
Cook.Cut_p15_r02_v15_c06.mp4,p15,m,train,3
Eat.Attable_p07_r20_v08_c02.mp4,p07,f,train,11
Walk_p10_r11_v12_c07.mp4,p10,f,test,30
Drink.Fromcup_p13_r02_v13_c01.mp4,p13,f,train,9
Drink.Fromcan_p02_r00_v08_c04.mp4,p02,f,test,8
Walk_p03_r06_v13_c01.mp4,p03,m,train,30
Drink.Fromcup_p25_r00_v12_c03.mp4,p25,f,train,9
Cook.Cleandishes_p07_r03_v21_c06.mp4,p07,f,train,1
Drink.Fromcup_p03_r03_v16_c03.mp4,p03,m,train,9
Drink.Fromcup_p12_r03_v02_c05.mp4,p12,f,train,9
Walk_p03_r03_v15_c07.mp4,p03,m,train,30
Cook.Cleanup_p10_r04_v14_c06.mp4,p10,f,test,2
Drink.Fromcup_p09_r04_v10_c01.mp4,p09,m,train,9
Walk_p06_r06_v12_c06.mp4,p06,f,train,30
Usetablet_p20_r01_v02_c05.mp4,p20,f,test,28
Makecoffee.Pourgrains_p02_r01_v01_c06.mp4,p02,f,test,17
Maketea.Insertteabag_p07_r00_v22_c06.mp4,p07,f,train,20
Walk_p03_r12_v03_c04.mp4,p03,m,train,30
Pour.Frombottle_p17_r00_v10_c02.mp4,p17,m,train,21
Enter_p06_r02_v12_c06.mp4,p06,f,train,13
Walk_p11_r05_v06_c04.mp4,p11,f,test,30
Leave_p04_r05_v05_c04.mp4,p04,f,train,16
Uselaptop_p15_r03_v04_c05.mp4,p15,m,train,27
Readbook_p11_r00_v01_c04.mp4,p11,f,test,24
Walk_p25_r02_v14_c03.mp4,p25,f,train,30
Cook.Cleandishes_p07_r04_v20_c06.mp4,p07,f,train,1
Getup_p13_r00_v09_c01.mp4,p13,f,train,14
